Dominican Republic,,0,0,0,0,0,0,0,0
Jamaica,,0,0,0,0,0,0,0,0
Costa Rica,,0,0,0,0,0,0,0,0
Panama,,0,0,0,0,0,0,0,0
Honduras,,0,0,0,0,0,0,0,0
Nicaragua,,0,0,0,0,0,0,0,0
Belize,,0,0,0,0,0,0,0,0
El Salvador,,0,0,0,0,0,0,0,0
Trinidad and Tobago,,0,0,0,0,0,0,0,0
"Bahamas, The",,0,0,0,0,0,0,0,0
Haiti,,0,0,0,0,0,0,0,0
Switzerland,,0,0,0,0,0,0,0,0
France,,14132,3816,0,0,0,0,0,0
Luxembourg,,0,0,0,0,0,0,0,0
Malta,,0,0,0,0,0,0,0,0
Belarus,,0,0,0,0,0,0,0,0
Germany,,0,226047,226993,202286,208846,217144,210493,205597
Italy,,1118,15,105,111,101,88,80,95
Spain,,39333,25872,21474,9292,7298,6813,4815,4298
Netherlands,,0,0,0,0,0,0,0,0
Poland,,237082,178247,174987,146257,152680,158197,156875,150374
Belgium,,1142,0,0,0,0,0,0,0
Bulgaria,,34916,29136,27222,32413,40927,36847,31537,34506
Hungary,,19654,15469,10549,10045,10533,10240,10536,10528
Sweden,,12,0,0,0,0,0,0,0
Czech Republic,,0,71829,68372,60857,64002,61566,53990,51651
Denmark,,0,0,0,0,0,0,0,0
Portugal,,310,0,0,0,0,0,0,0
Romania,,42090,32281,34288,34312,39145,37418,27250,25976
Austria,,2698,1377,0,0,0,0,0,0
Greece,,57205,70423,76498,62303,64668,69397,59441,56047
Slovakia,,0,4021,2768,2621,2619,2526,2594,2412
Estonia,,0,0,0,0,0,0,0,0
Ireland,,28,0,0,0,0,0,0,0
Lithuania,,0,0,0,0,0,0,0,0
Latvia,,0,0,0,0,0,0,0,0
Norway,,334,697,1621,2133,1528,1355,2045,1846
Russia,,0,264912,311823,329258,325887,363058,359339,393765
Croatia,,0,0,0,0,0,0,0,0
Ukraine,,0,68787,66537,63558,69097,72227,71019,49997
Moldova,,0,0,0,0,0,0,0,0
Macedonia,,0,8285,7585,7412,9049,8058,7370,7857
Albania,,2283,33,50,11,5.5,5.5,3.3,0
Montenegro,,0,0,0,2136,2175,1969,1865,1824
Bosnia and Herzegovina,,0,8200,6356,7047,7829,7684,6875,6798
Serbia,,0,0,0,41861,45310,42146,44420,33081
Iceland,,0,0,0,0,0,0,0,0
Finland,,0,0,0,0,0,0,0,0
United Kingdom,,102252,34390,22595,20223,20450,18703,13969,12839
Slovenia,,0,4938,5004,4883,4961,4716,4273,3426
Canada,,75323,76239,72582,74835,73980,73299,75958,74595
Mexico,,7642,12505,11855,12397,15122,15053,14402,14810
United States,,1029076,1073612,1131498,1084368,1095628,1016458,984842,1000049
Kiribati,,0,0,0,0,0,0,0,0
Nauru,,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0
Samoa,,0,0,0,0,0,0,0,0
Australia,,225491,338103,408505,467823,461799,492786,521121,553283
New Zealand,,2842,3811,5806,5876,5451,5430,5099,4374
Papua New Guinea,,0,0,0,0,0,0,0,0
Solomon Islands,,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0
Hong Kong,,0,0,0,0,0,0,0,0
Macau,,0,0,0,0,0,0,0,0
Taiwan,,520,92,0,0,0,0,0,0
Indonesia,,11628,87498,187989,358251,445984,489966,537364,518690
Philippines,,1370,1491,3487,8088,8390,8987,7817,10487
Malaysia,,122,423,869,2642,3214,3252,3190,3190
Thailand,,13692,19520,23014,20221,23509,19918,19391,19820
Singapore,,0,0,0,0,0,0,0,0
Vietnam,,5100,12797,37581,49422,51380,46389,45233,39437
Laos,,1.1,139,257,786,748,784,788,814
Burma (Myanmar),,76,639,633,756,764,930,636,449
Timor-Leste (East Timor),,0,0,0,0,0,0,0,0
Brunei,,0,0,0,0,0,0,0,0
Cambodia,,0,0,0,0,0,0,0,0
Venezuela,,2413,8692,7931,2899,2878,2107,1194,2533
Brazil,,5065,7502,6895,5969,6068,7293,9473,7132
Argentina,,304,285,28,72,99,105,91,92
Chile,,2406,403,600,682,721,785,3338,3364
Colombia,,23562,42155,65107,81957,94582,98132,94247,97640
Peru,,107,18,25,133,201,250,208,273
Ecuador,,0,0,0,0,0,0,0,0
Paraguay,,0,0,0,0,0,0,0,0
Uruguay,,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0
Bolivia,,0,0,0,0,0,0,0,0
Guyana,,0,0,0,0,0,0,0,0
Suriname,,0,0,0,0,0,0,0,0
Cyprus,,0,0,0,0,0,0,0,0
Turkey,,52280,69741,64309,80908,83903,78772,66572,70702
Bahrain,,0,0,0,0,0,0,0,0
Yemen,,0,0,0,0,0,0,0,0
Kuwait,,0,0,0,0,0,0,0,0
Oman,,0,0,0,0,0,0,0,0
Qatar,,0,0,0,0,0,0,0,0
Iraq,,0,0,0,0,0,0,0,0
Iran,,1213,1265,1715,1200,1283,1151,1217,1213
United Arab Emirates,,0,0,0,0,0,0,0,0
Israel,,0,0,0,0,0,0,0,0
Syria,,0,0,0,0,0,0,0,0
Jordan,,0,0,0,0,0,0,0,0
Lebanon,,0,0,0,0,0,0,0,0
Palestinian Territories,,0,0,0,0,0,0,0,0
Saudi Arabia,,0,0,0,0,0,0,0,0
