Bulgaria,0,0,0,0,2,3,3
Hungary,0,0,5,4,4,4,4
Sweden,0,5,11,12,14,14,13
Czech Republic,1,0,6,7,7,7,8
Denmark,0,0,1,3,5,5,5
Portugal,0,0,7,7,7,6,6
Romania,0,0,4,5,6,5,6
Austria,0,2,13,12,13,12,12
Greece,0,0,3,2,3,3,3
Slovakia,0,0,2,2,2,2,2
Estonia,0,0,0,0,0,0,0
Ireland,0,0,2,2,2,2,2
Lithuania,0,0,1,1,1,1,2
Latvia,0,0,1,1,1,1,1
Norway,0,0,3,3,3,3,3
Russia,0,0,0,0,0,0,0
Croatia,0,0,0,0,1,1,1
Ukraine,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0
Macedonia,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0
Serbia,0,0,0,2,2,0,0
Iceland,0,0,0,0,0,0,0
Finland,0,0,0,5,5,7,7
United Kingdom,7,0,2,29,29,25,26
Slovenia,26,0,0,1,1,1,1
Canada,2,5,6,30,44,51,55
Mexico,58,0,0,0,0,0,0
United States,0,108,271,833,883,901,955
Kiribati,977,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0
Australia,0,0,1,7,8,7,6
New Zealand,7,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0
Taiwan,0,0,0,2,2,2,2
Indonesia,2,0,0,4,6,12,18
Philippines,37,0,0,6,6,8,9
Malaysia,9,0,0,0,0,2,3
Thailand,5,0,1,18,19,25,34
Singapore,39,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0
Burma (Myanmar),0,0,0,0,0,0,0
Timor-Leste (East Timor),0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0
Venezuela,0,0,0,0,0,0,0
Brazil,167,182,437,342,327,430,471
Argentina,0,0,12,18,22,26,30
Chile,0,0,0,0,0,0,0
Colombia,0,1,10,11,12,16,17
Peru,0,0,3,5,7,7,7
Ecuador,0,0,0,0,0,0,0
Paraguay,0,1,2,3,3,3,3
Uruguay,0,0,0,0,1,1,1
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0
Turkey,0,1,1,0,2,9,9
Bahrain,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0
Syria,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0
Palestinian Territories,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0
